patch_id	centroid_lon	centroid_lat	node1_id	node1_lon	node1_lat	node2_id	node2_lon	node2_lat	node3_id	node3_lon	node3_lat	coupling_ratio_mean	coupling_ratio_std
1	141.731342040772	38.7225699043728	2466	141.771943858089	38.7259547140988	2341	141.706193518347	38.6939253247866	2342	141.715895119293	38.7478188292697	0.605571064317503	0.0364737493819419
2	142.427192198095	40.8254056293655	2882	142.460662148929	40.8452768658229	2881	142.429388546329	40.7963548890793	2756	142.391530032452	40.8345746262572	1	0
3	141.224984651356	41.2199000432989	572	141.256120476325	41.2397967316092	571	141.245714953114	41.1859959384109	454	141.173105900401	41.233889389774	0.210601374770532	0.0128704772146687
4	144.088761050205	40.9068110909914	6358	144.048126484223	40.9038234515148	6501	144.126025386749	40.9320962261651	6500	144.092146466924	40.8844999765692	0.226577761701493	0.00923016132313899
5	141.445283639226	37.6463280241057	2571	141.482853949119	37.67950712403	2570	141.456529025177	37.6292768940557	2445	141.396492416828	37.6301836339828	0.269726876552798	0.143798786467157
6	142.640577056257	36.9353908928276	6141	142.682036947461	36.9663994045454	6140	142.649246208001	36.918813947634	5999	142.590472453921	36.9209409830708	0.153337507640354	0.206826137925561
7	143.908058781609	41.7354750010594	4192	143.955920664882	41.7521204140695	4191	143.907781729778	41.7117540824131	4060	143.860481412332	41.7425304936888	0.141396137290925	0.00937476311035561
8	141.124121312355	36.9978938076185	2683	141.162162904667	37.0258362743368	2682	141.130818247788	36.9778309829286	2557	141.079399335717	36.9899996647286	0.414371641980525	0.0579851963313614
9	139.849164160915	36.6092789398431	484	139.8408684004	36.6294336919006	602	139.892983976174	36.6187265700689	483	139.813656339207	36.5796634713253	0.063806550592226	0.00375677426112322
10	142.311342196727	37.8384494631096	4114	142.283917729155	37.820913080683	4115	142.304725349178	37.8725151394926	4246	142.34537934638	37.8219117200945	0.666970973578737	0.262141104953281
11	140.668735853255	38.6804875148163	288	140.682174409942	38.654567072637	171	140.628894103413	38.6792005403016	289	140.695144546164	38.7076844105892	0.0912919108991939	0.00584404030200093
12	140.614771562919	35.8784598945648	3166	140.621041701385	35.9111214623144	3293	140.638539842012	35.8585989725582	3165	140.584734190199	35.8656528922406	0.0618803648634368	0.00452066947288346
13	140.33209283119	36.4251381910154	1680	140.286436513227	36.4156773696769	1803	140.371595942394	36.4533040723884	1802	140.338263985765	36.4064181913457	0.138368011100966	0.0107400251341252
14	141.671933932318	41.3707305944339	1171	141.705551872507	41.3905399432073	1170	141.690009687681	41.3375355957198	1051	141.620230487446	41.3840980782811	0.518628300463884	0.0438550306219477
15	140.483451106544	37.4571113663248	857	140.5136659832	37.4385487370841	738	140.454926615267	37.4414583630017	739	140.481757924093	37.4913194805325	0.160268551792322	0.0129306355898537
16	140.167474758808	36.7270084556952	1081	140.167550214433	36.6925904235631	962	140.139400841116	36.7464088370864	1082	140.195470976864	36.7420193096908	0.122985367489983	0.00793468968257417
17	141.332043033197	38.2552365310234	1840	141.360247578122	38.2836630750089	1839	141.34503969149	38.23094277476	1717	141.290850610973	38.2510924139135	0.288092997938383	0.0497104310926375
18	140.126337176391	36.060414277884	1795	140.102475419051	36.0796929831011	1918	140.156622053869	36.0734447310521	1917	140.119915313524	36.0280986897354	0.0592038587250379	0.00402528634551053
19	140.447410604898	36.6373164216316	1685	140.439862869779	36.6571980313737	1807	140.491942861841	36.6464148472448	1684	140.410442843084	36.6083224914003	0.185535591417511	0.0147936572196629
20	141.451488044238	37.6966683445462	2446	141.422672954223	37.680231675982	2447	141.448934973602	37.7302583459758	2571	141.482853949119	37.67950712403	0.238000790714343	0.154862551520421
21	142.25166808114	38.3926297056828	3602	142.226943311959	38.3738522468301	3603	142.240023848387	38.4269223000539	3732	142.288030170436	38.377105582046	0.658710409658552	0.279003775653366
22	141.77838869402	37.7031563828138	3076	141.734613687443	37.6969409856705	3204	141.813669747053	37.7311945234232	3203	141.786896983031	37.6813199385678	0.777633550390933	0.282584892932394
23	142.409902608734	36.2964795649034	6553	142.363157576767	36.2873104221381	6697	142.451391093212	36.323907580135	6696	142.415177930624	36.2782041281938	0.193107887311996	0.064812423919225
24	141.2548888973	36.4062244946258	3823	141.295071511633	36.4340992247121	3822	141.260717179771	36.3876558872599	3692	141.20889626018	36.3969028316493	0.784590271045255	0.1686436891391
25	142.353164281148	37.1505159500628	5036	142.313062302745	37.1232976016731	5037	142.347221005872	37.1702004983507	5173	142.399226919556	37.1580337701386	0.218219871014446	0.348136855776917
26	141.664626694284	36.3509398012753	4884	141.689841527743	36.3324610267746	4749	141.634497830712	36.3370820711097	4750	141.669541969771	36.3832696307455	0.82519121769814	0.112848255305984
27	143.105947003934	38.5984211173547	5475	143.119558291674	38.5749161401183	5338	143.064363854082	38.5923622823113	5476	143.133929563365	38.6279731756462	0.655774469731503	0.241396901328943
28	142.231182158803	36.7894977093589	5439	142.236708644586	36.7705279772401	5302	142.184801693039	36.7811997339808	5440	142.272054231548	36.8167491610382	0.965256013377923	0.155724088734546
29	142.211262362652	38.4750574463597	3474	142.18418650764	38.4459008590474	3475	142.197357735927	38.4991413448716	3604	142.252251950572	38.4801189039559	0.858104605011095	0.245910968932166
30	141.806755101241	37.4430255912279	3454	141.771707121881	37.4144542546286	3455	141.79773284188	37.4645840369057	3584	141.850840066541	37.4500247287869	0.933297896272328	0.204220710112305
31	142.281112341997	39.0058031038682	3484	142.296954890001	38.9807538382033	3356	142.240736331918	39.0020747536201	3485	142.305652259018	39.0345699569557	0.564753976679065	0.0177683180079255
32	141.490409228682	37.2810424362468	3068	141.52096268221	37.2964085937245	3067	141.488833534297	37.2484243966663	2941	141.461431536531	37.2982866862768	0.941033616643308	0.18715573933624
33	142.642891518956	38.278186214142	4521	142.632373401685	38.3122365149142	4654	142.67880942823	38.2628775901306	4520	142.617485877982	38.2594356909533	0.596565952621917	0.288407757417079
34	143.680546736642	41.9890551543209	3416	143.675219959802	42.0167501572949	3544	143.732802926178	41.9783254479208	3415	143.633618947989	41.9720681328552	0.0567714068209753	0.0043000232661441
35	143.734845296738	40.2292894303884	6203	143.708487897964	40.2005242248252	6204	143.720839411573	40.2540404273015	6345	143.775217307448	40.233292488246	0.562951786376885	0.0153184908612409
36	141.526429312102	36.5783459821181	4089	141.528300244342	36.6116968376746	4220	141.553681336793	36.5596930752209	4088	141.49730591374	36.5636412044252	1	0
37	143.573221213471	39.6190927159379	6052	143.554286775805	39.6515253410459	6192	143.613174832924	39.6082858587443	6051	143.552193824275	39.597456623584	0.490624512075664	0.0207018315137332
