site_id	lon	lat	observed_east_mm_per_yr	observed_north_mm_per_yr	modeled_east_mean_mm_per_yr	modeled_north_mean_mm_per_yr	modeled_east_std_mm_per_yr	modeled_north_std_mm_per_yr
1	140.040000000162	41.4659999999975	-5.97142202055	4.67481053392	-5.81031931747625	2.97100395217096	0.343184633298477	0.0671996269464313
2	141.210000000105	41.3009999999966	-6.90240039946	5.74759086401	-12.286263288806	4.90061456748982	0.426051187050201	0.168344547570311
3	140.270000000223	40.7789999999955	-10.5955738239	5.988277136	-7.3314228975441	3.45006028119403	0.258494226076594	0.0511709077161223
4	141.790000000098	40.1329999999918	-20.7104053963	7.54166478619	-18.0076746563772	10.9494081231343	0.274755054091581	0.202740289597164
5	141.940000000093	39.5719999999884	-20.4588078902	8.29005224839	-21.9788547155902	11.7841817402171	0.399154330728949	0.2545106277542
6	141.200000000289	39.1109999999856	-17.6690604696	10.6661813628	-18.749418119118	9.91566705886024	0.336559812101362	0.225233763713156
7	139.780000000366	39.9679999999929	-11.3327798179	4.42635633502	-7.97427946506106	4.36389216284939	0.135500274420972	0.070879126609509
8	140.050000000438	39.3989999999895	-12.9037722435	4.91771628733	-11.0738913748847	5.51413657195387	0.168531546306598	0.114258997195173
9	139.810000000557	38.8949999999869	-11.6605130619	3.96942603576	-11.7358031340298	4.56975119138399	0.210211329612029	0.129987697156587
10	140.320000000515	38.7589999999846	-13.9444745683	5.42233923724	-14.6523116440706	5.726558000692	0.297039591808602	0.181111737789555
11	139.560000000651	38.5559999999854	-10.5585301213	3.48013735694	-11.1412279640163	3.6750800997422	0.212410932354844	0.128611808442061
12	140.370000000587	38.3309999999809	-13.9413820743	5.19029601025	-15.2584765345319	5.22577158043419	0.343291437369923	0.224097528105652
13	141.440000000296	38.4489999999795	-21.3877798932	10.8724288752	-21.7635274775848	10.2327825477205	0.787251220935904	0.627184457061162
14	140.950000000452	38.3169999999792	-17.5913581771	6.8582682926	-18.4736345529444	6.97182461086839	0.533971452565551	0.346509772775187
15	140.910000000545	37.8009999999738	-17.7757271423	5.04906317473	-17.5866825878969	6.29461881689281	0.743846821812271	0.404989825332153
16	139.790000000846	37.6439999999766	-11.8823085835	3.52205628025	-12.1640199169199	3.02804623664858	0.327124298035074	0.161233378970813
17	140.900000000676	37.0909999999649	-16.9451974378	4.599296928	-16.1714744226459	7.13611890671642	0.876392109746529	0.331927594058905
18	140.610000000908	36.5399999999582	-10.9377945052	2.6017219707	-13.1470431083718	4.0492416807327	0.6176057778375	0.242891842765071
19	139.730000001212	36.4019999999623	-8.72767980609	0.587638590327	-6.9934111202171	0.359763842347354	0.287418985149437	0.0458506173655371
20	138.870000001328	36.2589999999685	-5.84850953145	-0.351085284447	-4.38987594196744	-0.297937905020353	0.137149952362738	0.0173970648259528
21	139.510000000731	38.2309999999831	-10.5007781061	3.42749933394	-11.1290300675441	3.21443744348711	0.232731322555933	0.13588626366023
22	138.990000000834	37.895999999983	-8.8249774821	2.32873213616	-8.90267662785617	1.94996298232022	0.194371095804682	0.092018602264362
23	138.570000000947	37.3979999999817	-7.30099305211	1.27332436444	-6.8885501294844	0.841775749240163	0.159195465325106	0.0591263264779696
24	140.880000000119	41.4549999999972	-5.8570397607	5.4502825411	-9.4206250824559	4.22095155286296	0.469473229807503	0.115819513441959
25	140.640000000169	41.0429999999961	-9.37562274052	6.56064664546	-8.67863785565807	3.45993584738128	0.346523903072972	0.064237770100972
26	141.37000000011	40.9679999999956	-11.2020719643	6.39456497624	-13.6660895632293	5.38199778240163	0.354644100172918	0.235307843096592
27	141.200000000151	40.6249999999943	-14.2066410422	7.36278430625	-11.04377207981	5.53385385393487	0.280565500659135	0.135270378793352
28	139.930000000268	40.5779999999951	-10.4479106531	5.09676582283	-6.76514043362279	3.5302736307327	0.200083065144112	0.0533272561075
29	140.580000000226	40.5239999999943	-12.6558675627	6.75945529152	-8.20094127147897	4.39907805580733	0.219556018199392	0.0613058859874617
30	141.51000000012	40.5149999999937	-17.3331835212	7.16105580181	-13.8457527014383	7.82817465058345	0.298118826496431	0.19212278399096
31	141.080000000193	40.2909999999929	-15.1984341075	8.03967669882	-10.2565318564993	6.72769003328358	0.20778414115826	0.0904564595835675
32	141.710000000098	40.4049999999931	-19.904423379	7.05286710086	-16.3785494670285	9.93454238963364	0.291689794553907	0.210763978922707
33	141.290000000165	40.2909999999928	-16.5616373117	8.155039095	-11.6776494805156	7.61620918489823	0.228409191824684	0.11686216314015
34	141.460000000157	40.0489999999915	-18.2184825238	8.58369208684	-14.0073380795522	9.4137902285346	0.234992015879021	0.135727913455073
35	141.230000000199	39.9809999999913	-16.6699815906	8.89228310549	-12.4280325549661	8.72502688994573	0.204852563686824	0.107689675723621
36	141.95000000008	39.8689999999903	-20.3935304522	7.45057751401	-21.4010545824695	11.9951399535821	0.33110703240409	0.226200037842717
