x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-1.7819545520713305e+02 5.0460138622349987e+01 -8.3170811086842086e-02 -4.3419261333173656e-02 -4.1135273088694297e-03 2.7502522401662271e-03 8.5992627368458921e-04 4.1295756334669702e-04 1.8353733182109643e-03 3.8231439901967898e-04 3.6770876294913330e-04
-2.4517853940093704e+02 2.9675820779526752e+01 -6.3471413620755354e-02 -3.7254450452332076e-02 3.1405210344183956e-04 2.2443065671082212e-03 8.6478905350486669e-04 1.5975867791550235e-04 1.5461210172799124e-03 4.5499009852921387e-04 1.6321325105336259e-04
-1.7511478964249341e+02 2.9004456956561273e+00 -3.6613011096609714e-02 -2.0466954944685804e-02 -3.7714826680236694e-03 1.3865366928574425e-03 3.0600713413318992e-04 3.4870986749485709e-04 9.8379357079473565e-04 8.0870629741646054e-05 3.0722355814659673e-04
-8.0993460258500249e+01 1.4526572872125818e+01 -2.6200438856009700e-02 1.4105289036696340e-02 1.0974242431867143e-02 1.0805160677463857e-03 -7.7104765544411778e-04 -8.9801798644794645e-06 7.9231124033027898e-04 -6.1588947604045803e-04 1.1173648688605910e-04
-1.2372500871549154e+02 4.4615843838643732e-01 -2.6866529371398065e-02 -1.5453797737596711e-03 2.5825691981751252e-05 1.0867511694776129e-03 -3.0648284599480921e-04 2.7929117916256226e-04 7.9121934639223414e-04 -3.2348202350616559e-04 2.7957526177436152e-04
-1.2865811302579340e+02 -5.6859832992151979e+01 -7.8252304623391711e-03 8.5735048802190617e-03 -1.4994522022826215e-03 4.7592089138642638e-04 -4.5384337838681217e-04 2.0100916597145564e-04 3.8984335630069551e-04 -3.5953482470440248e-04 1.8451519174634681e-04
-1.8108201744723505e+02 -1.0460201484459452e+02 -2.9434172777344850e-03 1.9726367342875629e-03 -2.2904097471865699e-04 2.6871476956185812e-04 -1.9246587798415210e-04 1.2690450615044751e-04 2.3633717950677878e-04 -1.7076687390698891e-04 1.2438505542854229e-04
-2.2745178985221625e+02 -7.2162805364284750e+01 -1.1836756969421243e-02 -1.0223705111379407e-02 7.5048143942530940e-04 5.7941938064425794e-04 1.7249485725108585e-04 8.6762932575744554e-05 4.4921505398062427e-04 6.0034101025912362e-05 9.5018228409422958e-05
-1.3037482572797259e+02 -1.3565260028671847e+02 -5.7137789653648316e-04 1.0090985121133149e-02 5.5648023863314800e-04 1.6438303139909322e-04 -4.0922859096778120e-04 8.7505906340359693e-05 1.5809787453719191e-04 -2.9822775463531656e-04 9.3627188965324321e-05
-1.5733778730383969e+02 -1.9634401206863643e+02 8.8885155770450060e-04 5.8704742644398490e-03 1.9284757264416627e-03 7.2698393612056496e-05 -2.5952589392368435e-04 2.8680670051422973e-05 8.2475760746806003e-05 -1.9495067701484601e-04 4.9893903042281264e-05
-2.3706303608399128e+02 -2.0986581231198016e+02 8.9711942040367307e-04 1.4988047281905956e-04 2.9662217178200376e-03 6.2898611192892514e-05 -6.2169524264285190e-05 -2.2416693613765287e-05 7.2766924817332918e-05 -6.0520839063275535e-05 1.0211745282255121e-05
-3.0937876361536632e+02 -1.7475854661131285e+02 -3.2509627192070238e-03 -5.6612275900249469e-03 4.5025368323106472e-03 2.0730805946921621e-04 1.2418902858964926e-04 -8.9410933813672627e-05 1.7154746955793895e-04 6.1915525099374836e-05 -3.9883028658255508e-05
-3.1479452536744833e+02 -2.2325686356828254e+02 -5.9795445537255904e-04 -2.9599083770912179e-03 4.3436964726675711e-03 9.9501592502947470e-05 5.5023903347573737e-05 -8.8970378977304125e-05 9.2924093493849320e-05 2.2464911199570336e-05 -4.1189717777960842e-05
-4.0461775623376468e+02 -1.9274654924935572e+02 -5.6560574125834031e-03 -5.2588154914224158e-03 5.8440846851302020e-03 2.6035654086740262e-04 1.3350402268190499e-04 -1.6197279616627744e-04 1.9813990932898519e-04 7.5657052276258420e-05 -9.7687864629845221e-05
-3.9924276905597634e+02 -2.5712385242876434e+02 -1.5815895484733349e-03 -1.0329743085604815e-03 5.2654184466763496e-03 1.2018206232044112e-04 6.5638807169513678e-06 -1.3957409718898698e-04 1.0278457728723444e-04 -4.7988366772139288e-06 -8.1654494275547129e-05
-3.4300750703789390e+02 -2.9654949270981928e+02 1.0391196834082172e-03 -4.2454391128780714e-04 4.1942735673988103e-03 3.7360994758706141e-05 -9.0427888126554677e-06 -8.9607523989862213e-05 4.8791311276196531e-05 -1.3712771836821346e-05 -4.3470514748475305e-05
-2.5032440636111679e+02 -6.2696574670116556e+00 -3.9509340045369046e-02 -2.7601035044940148e-02 1.2194613366139208e-03 1.4961330112362242e-03 6.3732332786985992e-04 1.0055272088758869e-04 1.0615302707371647e-03 3.3371194237551827e-04 1.1396679559034182e-04
-2.9723996884900475e+02 -4.1846097655151979e+01 -2.6977530113791514e-02 -2.1421536033649411e-02 4.6345774647222138e-03 1.0663480731266982e-03 5.3220582190660539e-04 -5.2034533214652652e-05 7.6959524187499159e-04 2.9656892553646185e-04 -1.0541811027083045e-06
-3.3590891608593643e+02 -9.5835238900135593e+01 -1.5098536088364837e-02 -1.4319471791068862e-02 5.7918920532913781e-03 6.3202652659539679e-04 3.7045883193430774e-04 -1.2464570091715296e-04 4.6594262962338360e-04 2.1294464223255025e-04 -6.0934888330947799e-05
-4.3475213380361458e+02 -1.4347939482636721e+02 -1.1531438810412954e-02 -8.5157273200935045e-03 6.6548714251622584e-03 4.6149872659215430e-04 2.3418892435924475e-04 -1.9847870119698712e-04 3.3465289967761182e-04 1.4051592383821621e-04 -1.2527511552020229e-04
-1.7115106386450785e+02 3.6589069288886071e+02 -3.2150744199939990e-01 1.9368885267749614e-01 3.2726284168476628e-03 9.1361591953163946e-03 -5.3877227429222326e-03 1.2829406350272675e-04 5.5995773333229956e-03 -3.2571453634697750e-03 1.6429297608805103e-04
-1.2436412824843941e+02 3.4896144955521646e+02 -4.2336030268426994e-01 2.8273337404412552e-01 1.4205503221979682e-02 1.1277910267139485e-02 -7.3737889768630029e-03 -3.0424308188325923e-04 6.6209469376125154e-03 -4.2637218623776223e-03 -1.4798254644148273e-04
