Veast_1998 Vnorth_1998 Veast_2009 Vnorth_2009
-8.08651784701 5.6461523795 -5.97142202055 4.67481053392
-7.25619876156 3.77581422013 -6.90240039946 5.74759086401
-6.93140594742 5.91185779219 -10.5955738239 5.988277136
-10.0605767402 6.37733061632 -20.7104053963 7.54166478619
-14.0575099927 7.34581392094 -20.4588078902 8.29005224839
-19.6133673873 12.168447944 -17.6690604696 10.6661813628
-9.69571951993 6.80743094299 -11.3327798179 4.42635633502
-10.9628998943 9.24377583483 -12.9037722435 4.91771628733
-11.7198723706 8.11479449911 -11.6605130619 3.96942603576
-10.8528896351 11.5877548836 -13.9444745683 5.42233923724
-13.8522912312 6.68910646332 -10.5585301213 3.48013735694
-19.0390362081 10.0679290467 -13.9413820743 5.19029601025
-28.9357837203 14.2066148256 -21.3877798932 10.8724288752
-24.9650169162 12.3099150359 -17.5913581771 6.8582682926
-25.841848667 11.5881228518 -17.7757271423 5.04906317473
-15.813743661 7.42314766658 -11.8823085835 3.52205628025
-22.3591279474 10.9160183466 -16.9451974378 4.599296928
-14.5382951083 4.25058196872 -10.9377945052 2.6017219707
-10.9325512813 2.96351045423 -8.72767980609 0.587638590327
-5.86474790321 3.79308203998 -5.84850953145 -0.351085284447
-15.1508471628 6.77952132725 -10.5007781061 3.42749933394
-10.5222779974 4.63729718736 -8.8249774821 2.32873213616
-10.4958165608 1.64081572304 -7.30099305211 1.27332436444
-7.81763229991 4.42863785293 -5.8570397607 5.4502825411
-6.16758839103 6.46732951525 -9.37562274052 6.56064664546
-7.38991229599 5.52343298532 -11.2020719643 6.39456497624
-7.60398587337 6.41745638643 -14.2066410422 7.36278430625
-9.39506778919 6.27609397272 -10.4479106531 5.09676582283
-7.31066216335 6.64718467457 -12.6558675627 6.75945529152
-8.78126390071 6.74500847079 -17.3331835212 7.16105580181
-6.15637560812 9.79770020938 -15.1984341075 8.03967669882
-9.65784796877 5.54091060439 -19.904423379 7.05286710086
-7.4533873179 8.17368354463 -16.5616373117 8.155039095
-9.26488829021 9.62192471165 -18.2184825238 8.58369208684
-9.93218309621 11.7667487471 -16.6699815906 8.89228310549
-12.0216898908 7.19841841409 -20.3935304522 7.45057751401
-11.128610382 11.7187251458 -16.3648434089 9.1610220023
-11.9700834334 9.00914496516 -19.894393883 8.02727540529
-6.06999107877 7.50956112925 -15.6510092811 9.00477245118
-12.8110017342 13.3721136415 -16.6457173371 9.89386600267
-15.309698579 8.89677221219 -21.096867966 8.67028120515
-14.8036216202 15.1688312439 -16.5706289639 9.96111569723
-16.0290305305 14.2727461516 -18.9500615446 10.7128102455
-19.7945514851 11.6896065428 -21.5073243541 10.2846765393
-22.7704921519 13.5427393515 -22.5727864906 11.2964442902
-23.6369259104 15.5378006928 -21.0551203643 11.6974421745
-21.0944418637 15.8919460957 -16.4149787864 7.69897560062
-29.7786671339 16.0936254738 -20.5200225564 11.4743816949
-26.8555599372 14.0483697142 -18.4564772512 9.09523905231
-22.8339206212 12.4379732749 -16.8356762361 6.81375930957
-19.4864317556 10.7488340623 -15.5173406933 5.55285950137
-23.7053579895 11.1617516982 -17.0395884518 5.45943945275
-17.9562830804 8.8313027229 -14.3636546856 4.90300939744
-7.68093852499 10.9418472156 -13.3632000144 6.83217565286
-9.21510597103 8.12653035208 -12.5921172051 5.88491553855
-8.1720879078 9.06108901171 -14.2205913121 7.53678291473
-9.71302765124 8.99215009199 -13.5838115812 6.37453522062
-8.10504265899 7.16221456735 -12.7945523426 5.42439612088
-11.322604087 9.03912213084 -14.5325617141 7.34396504883
-9.22688630823 9.96255662644 -13.493622176 5.7232957951
-11.7724852583 10.5857411007 -14.1669583568 6.39747864938
-10.4289298753 12.0851449217 -14.9805025927 7.21897620962
-10.7155876728 7.82506591188 -12.2592172505 4.35184736049
-11.5711949399 11.3194673292 -13.3890760301 5.16482925547
-9.35513134374 7.64509528149 -10.6777909965 3.48139424851
-14.2424198818 7.39173854841 -12.2360347208 4.31783401286
-14.7946418033 6.24456928348 -11.6052785079 4.02044635187
-16.5138485473 8.97265814995 -11.3980606661 3.88756051811
-17.1932565141 9.41536823829 -12.8175510297 4.43103280365
-19.8840779013 15.1153854212 -12.6407169477 4.5685754883
-20.8277474228 10.5814179181 -14.5811309703 4.46727845262
-21.6235104416 8.86238552763 -16.5458396307 4.74782109566
-15.2722609925 8.12425203576 -12.8033252185 3.8274042952
-23.1348462593 9.68759235847 -18.7265269312 5.21317081288
-13.4920446366 5.90017595672 -10.9349397312 2.81977736875
-21.2171662141 6.8647010348 -15.5769064894 4.56667502964
-10.9408929703 4.72952038526 -10.2154575994 2.26392504958
-13.1165111901 4.41384702847 -10.7239618219 2.4668439825
-24.699415581 7.93778762484 -18.3022519778 5.30910083268
-15.3858057903 5.39875569423 -11.9109404528 3.06423728371
-15.4699007019 4.90889274679 -12.9590481715 3.54812965767
-17.6322414561 8.3417415636 -14.4076792081 3.99841410545
-18.0952770645 5.86698534461 -12.7549781829 3.21872738389
-16.113930281 4.92767540999 -11.163613382 2.55569990663
-24.5876416436 4.75924998622 -14.122323299 3.14166557076
-11.3592472014 2.83103078194 -8.54382585711 1.24436636481
-11.1296374061 5.108298363 -8.24249588966 2.56460030925
-14.9443016129 5.07068234595 -11.605210558 2.68114682889
-10.0037319901 2.08824570921 -9.93229413765 1.32659579881
-13.5862590564 5.59338353628 -10.2928443048 1.71290931909
-11.359173097 4.12583995734 -8.87658531254 0.988229229335
-4.65349485643 4.84054912328 -5.81005491175 0.0191845494474
-9.63067431834 2.41215772598 -7.95514418665 0.158506263081
-6.58744439342 0.467426668516 -4.89034505825 -0.777906566912
-6.01327630772 2.63395920963 -3.92582681987 -0.429839852673
-0.375138420084 1.21864801392 -1.55783238223 0.649753125156
-9.68133675071 6.06276792584 -9.47688918683 2.93436729759
-7.95234637536 4.61800557903 -7.22580570696 1.85757910469
-8.2382299346 3.89843256017 -7.13514279621 1.7019743606
-14.0740290209 6.86117609944 -10.1287463282 3.00074771339
-6.71412603327 4.93549819091 -6.55798787356 1.33762157175
-14.3595105977 8.10157775482 -10.7440092341 3.02047594559
-8.73750105659 6.17693510806 -8.11288736084 1.81897066389
-7.68517091117 4.32260180997 -9.1335067722 2.24168360551
-8.20647467554 7.21942339114 -8.88404293699 1.92064151128
-9.73857633953 3.20116320475 -8.01352197295 1.4227414546
-4.69060048063 2.90744873336 -6.4125283317 0.861241433741
-9.40501573447 9.64792694704 -8.41595690218 1.38872607775
-7.38016037626 3.21777715344 -7.14241053599 0.906307789952
-8.7883448922 4.51806584649 -7.81443830286 0.987383624019
