patch_id	centroid_lon	centroid_lat	node1_id	node1_lon	node1_lat	node2_id	node2_lon	node2_lat	node3_id	node3_lon	node3_lat	locking_probability_mean	locking_probability_std
5973	141.732978843716	37.1895476631014	3708	141.73101643837	37.1571889786617	3579	141.704273841382	37.2066453253394	3709	141.763646633357	37.2048010935117	0	0
5974	141.574902757115	37.1645755372247	3320	141.536102104896	37.1369393524255	3321	141.568461112771	37.1848385245875	3449	141.620161695978	37.1719336601456	0.854816824966079	0.352524668176651
5975	141.645310811536	37.2402137776508	3322	141.60012924152	37.2330366440387	3451	141.683649228308	37.2678257761419	3450	141.652170248507	37.2197639585267	0.584803256445047	0.493090570204059
5976	141.764620966096	37.2374997562431	3709	141.763646633357	37.2048010935117	3580	141.735307651827	37.2546825374287	3710	141.79490843764	37.253007995446	0.0881953867028494	0.283771426753527
5977	141.697245177777	37.2270355557971	3579	141.704273841382	37.2066453253394	3450	141.652170248507	37.2197639585267	3580	141.735307651827	37.2546825374287	0	0
5978	141.665441933825	37.1792597043318	3579	141.704273841382	37.2066453253394	3578	141.671906818218	37.1591850065417	3449	141.620161695978	37.1719336601456	0.206241519674356	0.404880700708719
5979	141.412960437536	36.9256590611749	3316	141.407013521773	36.9453114979364	3444	141.458577066293	36.9335910168027	3315	141.373308036888	36.8980592939427	0	0
5980	141.667957934419	37.094410377702	3706	141.665559226213	37.0620785842511	3577	141.639738231178	37.1116450244965	3707	141.698576877853	37.1095000633414	0	0
5981	141.56172716595	37.0566900449645	3576	141.606997433714	37.0643682000046	3446	141.522759565726	37.0290896148373	3447	141.555441378157	37.0765972194307	0.649932157394844	0.477314863676777
5982	141.700499946448	37.1419605237832	3707	141.698576877853	37.1095000633414	3578	141.671906818218	37.1591850065417	3708	141.73101643837	37.1571889786617	0	0
5983	141.633174983449	37.1316878292725	3577	141.639738231178	37.1116450244965	3448	141.587896502382	37.1242183794805	3578	141.671906818218	37.1591850065417	0.3921302578019	0.488557041715553
5984	141.559799887788	36.9359236928328	3573	141.510106554545	36.922028728315	3704	141.601382932931	36.9664635562991	3703	141.56793384938	36.9192610112226	0	0
