site_id	lon	lat	observed_east_mm_per_yr	observed_north_mm_per_yr	modeled_east_mean_mm_per_yr	modeled_north_mean_mm_per_yr	modeled_east_std_mm_per_yr	modeled_north_std_mm_per_yr
1	140.040000000162	41.4659999999975	-8.08651784701	5.6461523795	-4.13907278492537	2.20459003161465	0.228269116856392	0.0609036141027847
2	141.210000000105	41.3009999999966	-7.25619876156	3.77581422013	-8.86251124367707	2.60372539976933	0.247330688950484	0.121159823107319
3	140.270000000223	40.7789999999955	-6.93140594742	5.91185779219	-4.46835739884667	3.21955335933514	0.179180719160406	0.0624901488565403
4	141.790000000098	40.1329999999918	-10.0605767402	6.37733061632	-11.3173446766486	11.3451336032972	0.233881264599595	0.16413552249277
5	141.940000000093	39.5719999999884	-14.0575099927	7.34581392094	-22.0338219022388	13.6175861681683	0.30729243154922	0.177898831028257
6	141.200000000289	39.1109999999856	-19.6133673873	12.168447944	-20.4972611879783	12.4914430052917	0.273524351410821	0.142843090962296
7	139.780000000366	39.9679999999929	-9.69571951993	6.80743094299	-7.03224692398915	5.66691795518317	0.138443770554902	0.0680342706533184
8	140.050000000438	39.3989999999895	-10.9628998943	9.24377583483	-11.6109157497558	7.61257601283582	0.172419105099154	0.0803910018834508
9	139.810000000557	38.8949999999869	-11.7198723706	8.11479449911	-13.862140191981	6.64770104116689	0.179911739436436	0.0786091485846286
10	140.320000000515	38.7589999999846	-10.8528896351	11.5877548836	-17.7011357515739	8.30378911468114	0.230337137485926	0.102435125065407
11	139.560000000651	38.5559999999854	-13.8522912312	6.68910646332	-13.8174313543148	5.42487375226594	0.168980055547589	0.0797039608293885
12	140.370000000587	38.3309999999809	-19.0390362081	10.0679290467	-19.757726938209	7.6327389395251	0.244048202968572	0.13615788068599
13	141.440000000296	38.4489999999795	-28.9357837203	14.2066148256	-27.5463534084803	12.9579245037449	0.350569676099432	0.191946445005918
14	140.950000000452	38.3169999999792	-24.9650169162	12.3099150359	-24.0492072769606	9.85540962654003	0.295813669863758	0.167776959205155
15	140.910000000545	37.8009999999738	-25.841848667	11.5881228518	-23.6585652299322	8.8573551546133	0.3710336791116	0.206590700112683
16	139.790000000846	37.6439999999766	-15.813743661	7.42314766658	-16.1165694636092	4.18025731774763	0.217999321085689	0.106728772736792
17	140.900000000676	37.0909999999649	-22.3591279474	10.9160183466	-21.8051702438806	9.35062929492537	0.437444325484959	0.174564230413318
18	140.610000000908	36.5399999999582	-14.5382951083	4.25058196872	-15.9043777415332	5.18051334301221	0.316452851060653	0.123336737226306
19	139.730000001212	36.4019999999623	-10.9325512813	2.96351045423	-8.87162959624152	0.445782368860244	0.179095932377093	0.0237265939298098
20	138.870000001328	36.2589999999685	-5.86474790321	3.79308203998	-5.63416685251018	-0.371306801614654	0.0920634841965505	0.0115828884051545
21	139.510000000731	38.2309999999831	-15.1508471628	6.77952132725	-14.258394685156	4.71978088535956	0.172012253148611	0.0862755882131855
22	138.990000000834	37.895999999983	-10.5222779974	4.63729718736	-11.4402761832564	2.85423110789688	0.141035861268088	0.062450141454855
23	138.570000000947	37.3979999999817	-10.4958165608	1.64081572304	-8.85697184735414	1.26169199407056	0.114066786902735	0.0421266989451072
24	140.880000000119	41.4549999999972	-7.81763229991	4.42863785293	-7.0007147639213	2.46904041483039	0.288982056906229	0.0855458358469365
25	140.640000000169	41.0429999999961	-6.16758839103	6.46732951525	-5.32554257310719	2.33087597569878	0.221869923808774	0.0659102213897448
26	141.37000000011	40.9679999999956	-7.38991229599	5.52343298532	-8.1973187818996	2.98128489112619	0.203460620653567	0.171105149720517
27	141.200000000151	40.6249999999943	-7.60398587337	6.41745638643	-4.9112311502171	4.54117130278155	0.182737366978363	0.123077367415859
28	139.930000000268	40.5779999999951	-9.39506778919	6.27609397272	-4.65121580483039	3.87000894940298	0.152507576295619	0.0625317912048054
29	140.580000000226	40.5239999999943	-7.31066216335	6.64718467457	-4.49551717332429	4.53271427506106	0.161531540321368	0.0739184559678652
30	141.51000000012	40.5149999999937	-8.78126390071	6.74500847079	-6.28947686496608	6.65763366945726	0.204043731807658	0.168988171736095
31	141.080000000193	40.2909999999929	-6.15637560812	9.79770020938	-5.05751117074627	7.3237890219403	0.171465997122867	0.103111889244372
32	141.710000000098	40.4049999999931	-9.65784796877	5.54091060439	-8.21034324540027	8.8435594631886	0.220989138745362	0.182536696334955
33	141.290000000165	40.2909999999928	-7.4533873179	8.17368354463	-5.5383837602171	8.02145942850746	0.186502830770403	0.121478101964214
34	141.460000000157	40.0489999999915	-9.26488829021	9.62192471165	-8.7133848014247	10.722524084057	0.204411942555025	0.131733900796906
35	141.230000000199	39.9809999999913	-9.93218309621	11.7667487471	-8.35648614054274	10.3621159118725	0.186482960951113	0.118367238396769
36	141.95000000008	39.8689999999903	-12.0216898908	7.19841841409	-18.0397581685346	13.3856285911262	0.270194345471119	0.170826345065088
37	141.160000000222	39.8509999999906	-11.128610382	11.7187251458	-9.76225565396201	10.8439870181954	0.18751869416782	0.119295312992885
38	141.800000000109	39.8489999999902	-11.9700834334	9.00914496516	-15.5859716318996	12.8677703459023	0.248656281728376	0.155685688216217
39	140.96000000027	39.7009999999899	-6.06999107877	7.50956112925	-11.0607835916282	10.7369455641384	0.190015031466852	0.11472904403048
40	141.170000000245	39.5969999999891	-12.8110017342	13.3721136415	-13.4251547406784	11.8907255526187	0.2068968173203	0.130221265302908
41	141.960000000093	39.4579999999876	-15.309698579	8.89677221219	-23.5318752136228	13.5234405653053	0.345458628349638	0.190614495466443
42	141.050000000292	39.3629999999877	-14.8036216202	15.1688312439	-16.1849090688738	11.8791935025645	0.231189237206447	0.129380816654765
43	141.530000000195	39.337999999987	-16.0290305305	14.2727461516	-19.8412886989145	13.2570438664722	0.267912613671943	0.155370087824542
44	141.800000000139	39.2539999999862	-19.7945514851	11.6896065428	-23.5332213886296	13.3990840410312	0.360168855891492	0.181384647669499
45	141.740000000166	39.0239999999844	-22.7704921519	13.5427393515	-25.3160810127951	13.6409078940434	0.410428633398503	0.182146179607654
46	141.570000000219	38.9029999999835	-23.6369259104	15.5378006928	-25.3522530398914	13.5879059882361	0.370124628432531	0.172019444046406
47	140.800000000424	38.7489999999834	-21.0944418637	15.8919460957	-21.1339962846404	10.2452315661194	0.284948097185348	0.121542557520221
48	141.45000000027	38.6829999999817	-29.7786671339	16.0936254738	-26.3797690821438	13.2798022728494	0.356540750988311	0.175162709116801
49	141.150000000367	38.5389999999809	-26.8555599372	14.0483697142	-24.9878960660244	11.3958203887246	0.321073635697284	0.149972330161032
50	140.850000000463	38.4119999999803	-22.8339206212	12.4379732749	-23.0891085402849	9.66685667097694	0.288231246837297	0.150891789503631
51	140.64000000055	38.2059999999789	-19.4864317556	10.7488340623	-21.8678669613297	8.35400953606513	0.273951416834526	0.165046678090067
52	140.840000000528	38.0299999999765	-23.7053579895	11.1617516982	-23.3155419326187	8.80020757310719	0.315440612452236	0.194536542367369
53	140.440000000639	37.9899999999773	-17.9562830804	8.8313027229	-20.6073229527001	7.19137329246947	0.276155491941027	0.160346522339248
