
332345.03867373	405549.73437178	79828.63010387	26200.83841384	321076.68184195	37815.16491260	370703.36477436	244422.17681336	233617.62785669	36668.11256452	220702.01886670	31484.57588159	33095.02421926	458770.02217817	390860.78917260	483902.02497134	392006.79845292	117929.68393813	551881.64662465	492207.94809173	639573.24266609	467025.67530670	362836.36597028	149376.73469251	591831.25178025	81280.50426183	43282.77991197	681737.54442119	
320150.84391933	343660.43671325	120.74846950	99375.84768930	288169.00971106	92131.66967053	473586.75965134	173356.43185371	233617.62785669	36668.11256452	357541.20828742	34775.69600586	33095.02421926	555368.73597714	390860.78917260	359665.33042870	446395.28138336	117929.68393813	685270.10760023	634925.98983414	595428.51473462	354824.63088943	362836.36597028	149376.73469251	524000.62982467	81280.50426183	43282.77991197	681737.54442119	
173164.11552357	243940.42895868	120.74846950	99375.84768930	279977.73806261	79747.65378768	493291.71399081	114705.68575194	233617.62785669	7150.77187734	381118.19655621	34775.69600586	33095.02421926	533144.68016127	371306.19361722	255707.62611216	419342.77575361	108719.62250854	549172.82845268	680679.44842357	613232.91711561	354613.75808588	480933.98555855	149376.73469251	422988.10662130	81280.50426183	93854.26360106	681737.54442119	
245097.98318385	243940.42895868	120.74846950	99375.84768930	303174.01725065	79747.65378768	388798.85302284	126159.00779917	233617.62785669	7150.77187734	381118.19655621	34775.69600586	33095.02421926	533144.68016127	266272.22985414	255707.62611216	389312.17480748	169561.76412110	610295.56715692	606550.39961829	613232.91711561	473734.45359198	566433.25258806	76221.81508932	422988.10662130	81280.50426183	46723.95698365	656666.99750610	
234553.83414653	243940.42895868	81706.63430297	99375.84768930	413890.90715621	79747.65378768	493360.31909788	146414.87722250	263559.98213131	29387.07123574	389457.54889411	34775.69600586	33095.02421926	553408.44598925	265865.56983723	255707.62611216	415013.46309320	169561.76412110	474195.61912249	606550.39961829	613232.91711561	473734.45359198	489876.05920128	38915.37148098	441330.55231725	44239.34978795	93688.86586235	656666.99750610	
248313.53495743	243940.42895868	83219.54743144	90114.09208892	352511.26565612	79747.65378768	493360.31909788	185377.20366561	118482.73963201	29387.07123574	389457.54889411	34775.69600586	77245.26752030	553408.44598925	401054.87133839	253370.36037906	293928.74568959	169561.76412110	537761.14781934	553538.35928188	503386.53893320	619351.45531193	363307.16553800	29952.31214677	470230.40529104	36343.92060589	180625.08808435	656666.99750610	
321968.41214639	203646.52539992	83876.85250327	95730.00766319	282946.08592772	79747.65378768	493360.31909788	278161.18824636	180839.54474927	29387.07123574	414242.47476289	34775.69600586	77245.26752030	600425.06420738	401054.87133839	381824.06418946	201586.06509086	237740.53949057	409304.68966786	442196.76644479	569346.46256591	685016.10479970	363307.16553800	29952.31214677	470230.40529104	36343.92060589	180625.08808435	607232.03612739	
344746.60098071	192016.60074133	173025.95629312	134829.20261796	282946.08592772	51646.21296447	417824.46731093	159337.32606718	59315.15825228	29387.07123574	279005.83182077	34775.69600586	34621.45195973	600425.06420738	391121.81779586	419833.47731792	201586.06509086	379988.06655227	524753.31195605	567092.78287456	547896.65501856	685016.10479970	356197.78625309	66981.61690282	440667.60596452	36343.92060589	131142.30433267	647383.62517008	
383212.56014514	149699.64627327	192356.09084037	135159.28050543	187992.17757313	51646.21296447	316443.83963138	159337.32606718	35852.85700962	26128.02990091	311656.78951727	34775.69600586	60570.82294302	600425.06420738	393370.24926848	419833.47731792	327693.49476125	393929.96774797	459498.71919233	418493.26140584	597366.62427229	685016.10479970	324856.76132512	66981.61690282	440667.60596452	79987.60925121	142879.91134902	647383.62517008	
383212.56014514	5615.28208924	124645.72083084	174961.67537059	173366.23155245	131959.68362702	367404.11746511	155144.87542655	35852.85700962	36776.48493968	167876.63524425	34775.69600586	60570.82294302	600425.06420738	406376.45755212	271248.43954892	271733.53207468	418252.11440435	584080.34168513	437491.25613622	662665.95469824	643514.43380929	458126.21368702	66981.61690282	400950.43245756	46248.97789833	142879.91134902	647383.62517008	
